customer_id,age,gender,marital_status,education_level,employment_status,income,city,credit_score,account_age_months,card_type,credit_limit,annual_fee,interest_rate,num_products,has_loan,has_savings_account,monthly_spending,avg_transaction_amount,monthly_transactions,online_transactions,international_transactions,cash_withdrawals,utilization_ratio,payment_delay_count,late_payment_amount,app_logins_monthly,website_visits_monthly,customer_service_calls,complaints_count,support_satisfaction,reward_points,offers_received,offers_redeemed,financial_stress_score,engagement_score,customer_value_score,churn_risk_score,churn_probability,churned
CUST-0000001,50,Male,Divorced,Bachelor,Employed,31679.55,San Diego,685,151,Standard,1100,0,16.46,3,0,1,569.99,114,5,1,0,1,0.542,1,23.09,8,4,1,0,4.1,728,3,1,50.33,74.89,54.35,13,0.13,0
CUST-0000002,42,Female,Married,Bachelor,Self-Employed,83618.66,Los Angeles,732,81,Gold,29600,150,18.24,1,0,1,14288.14,118.08,121,82,11,0,0.467,0,0,20,5,0,0,3.3,13537,3,2,17.7,85.36,99.34,4.3,0.043,0
CUST-0000003,52,Male,Married,Bachelor,Self-Employed,134295.3,Phoenix,777,41,Standard,15300,0,12.37,2,0,1,5222.78,121.46,43,18,0,0,0.363,0,0,12,3,1,0,3.2,4671,4,2,15.67,74.81,30.56,3.32,0.0332,0
CUST-0000004,63,Female,Married,Bachelor,Employed,100983.46,New York,708,54,Gold,39800,150,14.93,1,0,0,8835.64,68.49,129,84,11,0,0.221,0,0,10,3,0,0,3.1,12694,4,0,13.13,47.55,80.07,19.3,0.193,0
CUST-0000005,40,Male,Married,Bachelor,Employed,89736.89,Other,664,95,Gold,34300,150,18.11,1,0,1,31261.45,208.41,150,86,4,0,0.876,0,0,12,5,1,0,4.5,37007,1,1,44.25,58.71,100,15.1,0.151,0
CUST-0000006,40,Female,Single,High School,Retired,107764.44,Other,585,4,Standard,12400,0,16.38,3,1,1,6182.76,53.76,115,41,7,1,0.489,0,0,5,7,0,0,4.3,6774,3,1,34.36,60.61,39.14,6.31,0.0631,0
CUST-0000007,64,Female,Single,Bachelor,Unemployed,122185.44,Other,745,27,Gold,42300,150,16.51,3,0,1,12477.13,83.18,150,65,18,1,0.399,0,0,9,5,0,0,4.1,12100,5,0,24.74,54.89,79.17,2.39,0.0239,0
CUST-0000008,53,Male,Single,Master,Self-Employed,167905.8,Phoenix,673,60,Silver,39000,50,16.77,1,0,0,11786.09,112.25,105,55,5,1,0.341,2,98.3,12,6,1,0,3.3,11957,4,0,47.53,40.42,67.39,54.48,0.5448,1
CUST-0000009,37,Male,Married,Bachelor,Employed,36017.15,New York,704,52,Silver,7500,50,12.16,1,1,0,3870.42,71.67,54,15,9,2,0.551,0,0,11,9,0,0,4.6,5720,1,1,14.57,62.44,44.5,10.31,0.1031,0
CUST-0000010,51,Male,Single,Master,Self-Employed,96214.72,New York,666,73,Standard,11400,0,17.75,1,0,1,5402.72,108.05,50,38,0,0,0.448,1,46.65,10,2,2,1,3.4,6342,3,1,48.36,50.83,45.28,47.63,0.4763,1
CUST-0000011,37,Female,Single,High School,Employed,30856.92,Other,668,13,Gold,13900,150,15.24,2,0,0,3746.14,62.44,60,22,0,0,0.381,0,0,17,5,0,0,4.5,3045,3,1,21.22,77.57,53.86,4,0.04,0
CUST-0000012,37,Female,Single,Bachelor,Employed,68533.2,Houston,651,42,Silver,19800,50,18.74,1,0,0,6701.24,91.8,73,45,0,1,0.477,1,15,11,5,0,0,4.4,8572,0,0,47.3,43.74,42.45,16.21,0.1621,0
CUST-0000013,47,Female,Single,Associate,Employed,42121.76,San Diego,665,62,Standard,7600,0,15.6,2,0,1,1912.27,106.24,18,9,1,0,0.256,0,0,16,9,2,2,3.1,2355,4,3,22.39,98.01,32.34,13.04,0.1304,0
CUST-0000014,19,Male,Single,Bachelor,Employed,18915.66,Los Angeles,704,46,Standard,2800,0,17.5,1,1,1,1240,32.63,38,12,0,2,0.567,0,0,13,6,5,3,2.1,1434,2,0,23.36,49.97,28.64,57.21,0.5721,0
CUST-0000015,21,Male,Divorced,Associate,Employed,80808.84,Other,715,50,Silver,17600,50,15.33,1,0,1,6380.3,86.22,74,57,9,0,0.43,0,0,7,7,7,4,2.2,8438,0,0,19.98,51.79,56.99,50.36,0.5036,1
CUST-0000016,36,Male,Married,High School,Employed,82666.78,Other,719,21,Silver,19300,50,14.85,2,0,1,4003.76,97.65,41,22,1,2,0.244,0,0,10,5,0,0,4.1,5478,3,1,15.44,57.2,42.03,3.43,0.0343,0
CUST-0000017,30,Male,Married,Bachelor,Employed,40938.07,Houston,504,8,Platinum,18700,450,22.11,2,0,0,5707.64,57.65,99,52,0,0,0.362,0,0,3,7,0,0,4,6167,3,3,25.13,64.8,74.73,9.35,0.0935,0
